기준월,첨두시구분코드,첨두시구분(T1/T2/T3:오전/낮/오후),평균속도
202505,T0,전일 (06~22),22.73
202505,T1,오전 (07~09),24.19
202505,T2,낮 (12~14),22.52
202505,T3,오후 (17~19),20.33
202504,T0,전일 (06~22),22.4
202504,T1,오전 (07~09),23.53
202504,T2,낮 (12~14),22.51
202504,T3,오후 (17~19),19.81
202507,T0,전일 (06~22),22.08
202507,T1,오전 (07~09),23.48
202507,T2,낮 (12~14),22.05
202507,T3,오후 (17~19),19.42
202410,T0,전일 (06~22),22.53
202410,T1,오전 (07~09),23.86
202410,T2,낮 (12~14),22.65
202410,T3,오후 (17~19),19.76
202503,T0,전일 (06~22),22.76
202503,T1,오전 (07~09),23.95
202503,T2,낮 (12~14),22.77
202503,T3,오후 (17~19),20.38
202501,T0,전일 (06~22),23.36
202501,T1,오전 (07~09),24.88
202501,T2,낮 (12~14),23.06
202501,T3,오후 (17~19),20.98
202502,T0,전일 (06~22),22.56
202502,T1,오전 (07~09),24.17
202502,T2,낮 (12~14),22.56
202502,T3,오후 (17~19),19.73
202506,T0,전일 (06~22),22.66
202506,T1,오전 (07~09),23.97
202506,T2,낮 (12~14),22.57
202506,T3,오후 (17~19),20.21
202409,T0,전일 (06~22),22.38
202409,T1,오전 (07~09),23.86
202409,T2,낮 (12~14),22.28
202409,T3,오후 (17~19),19.91
202412,T0,전일 (06~22),22.71
202412,T1,오전 (07~09),24.33
202412,T2,낮 (12~14),22.67
202412,T3,오후 (17~19),19.49
